String
"Type=""Node"""
"Type=""SEPropertyName"""
"Type=""SEPropertyFormulaText"""
"Type=""SEPropertyFormulaBoolean"""
"Type=""SEPropertyFormulaMaterial"""
"Type=""TemplateFormula"""
"Type=""FilenameFormula"""
"Type=""SEPropertyFormulaString"""
"Type=""String"""
"Type=""Variable"""
"Type=""ParameterString"""
"Type=""LeafNode"""
